Site,Year,Date,Plot,Location,Snow_cover,Water_cover,Land_cover,Total_cover,Observer,Notes
barr,2011,29-May-11,brw1,b10,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,b12,100,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,b2,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,b4,100,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,b6,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,b8,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,d10,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,d12,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,d2,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,d4,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,d6,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,d8,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,f10,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,f12,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,f2,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,f4,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,f6,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,f8,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,h10,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,h12,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,h2,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,h4,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,h6,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,h8,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,j10,100,0,0,100,adoll,NA
barr,2011,29-May-11,brw1,j12,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,j2,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,j4,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,j6,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,j8,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,l10,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,l12,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,l2,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,l4,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,l6,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw1,l8,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,b10,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,b12,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,b2,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,b4,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,b6,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,b8,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,d10,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,d12,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,d2,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,d4,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,d6,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,d8,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,f10,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,f12,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,f2,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,f4,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,f6,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,f8,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,h10,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,h12,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,h2,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,h4,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,h6,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,h8,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,j10,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,j12,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,j2,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,j4,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,j6,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,j8,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,l10,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,l12,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,l2,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,l4,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,l6,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw2,l8,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw6,b10,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw6,b12,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw6,b2,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw6,b4,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw6,b6,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw6,b8,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw6,d10,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw6,d12,NA,NA,NA,100,adoll,NA
barr,2011,29-May-11,brw6,d2,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,d4,NA,NA,NA,NA,adoll,NA
barr,2011,29-May-11,brw6,d6,NA,NA,NA,NA,adoll,NA
